Tag,LocatorName,LocatorValue,LocatorType
div,,/html/body/div,Xpath
div,,/html/body/div/div,Xpath
div,,/html/body/div/div/div,Xpath
a,,/html/body/div/div/div/a,Xpath
img,,/html/body/div/div/div/a/img,Xpath
h4,,/html/body/div/div/h4,Xpath
form,,/html/body/div/div/form,Xpath
div,,/html/body/div/div/form/div[1],Xpath
label,,/html/body/div/div/form/div[1]/label,Xpath
input,username,//input[@id='username'],Xpath
div,,/html/body/div/div/form/div[1]/div,Xpath
div,,/html/body/div/div/form/div[2],Xpath
label,,/html/body/div/div/form/div[2]/label,Xpath
input,password,//input[@id='password'],Xpath
div,,/html/body/div/div/form/div[2]/div,Xpath
div,,/html/body/div/div/form/div[3],Xpath
a,log-in,//a[@id='log-in'],Xpath
div,,/html/body/div/div/form/div[3]/div[1],Xpath
label,,/html/body/div/div/form/div[3]/div[1]/label,Xpath
input,,/html/body/div/div/form/div[3]/div[1]/label/input,Xpath
div,,/html/body/div/div/form/div[3]/div[2],Xpath
a,,/html/body/div/div/form/div[3]/div[2]/a[1],Xpath
img,,/html/body/div/div/form/div[3]/div[2]/a[1]/img,Xpath
a,,/html/body/div/div/form/div[3]/div[2]/a[2],Xpath
img,,/html/body/div/div/form/div[3]/div[2]/a[2]/img,Xpath
a,,/html/body/div/div/form/div[3]/div[2]/a[3],Xpath
img,,/html/body/div/div/form/div[3]/div[2]/a[3]/img,Xpath
