Tag,LocatorName,LocatorValue,LocatorType
div,fixedban,//div[@id='fixedban'],Xpath
div,,/html/body/div[1]/div,Xpath
script,,/html/body/div[1]/div/script[1],Xpath
script,,/html/body/div[1]/div/script[2],Xpath
script,,/html/body/div[1]/div/script[3],Xpath
div,,/html/body/div[1]/div/div[1],Xpath
a,close-fixedban,//a[@id='close-fixedban'],Xpath
img,,/html/body/div[1]/div/div[1]/a/img,Xpath
div,adplus-anchor,//div[@id='adplus-anchor'],Xpath
div,"google_ads_iframe_/21849154601,22343295815/Ad.Plus-Anchor_0__container__","//div[@id='google_ads_iframe_/21849154601,22343295815/Ad.Plus-Anchor_0__container__']",Xpath
iframe,"google_ads_iframe_/21849154601,22343295815/Ad.Plus-Anchor_0","//iframe[@id='google_ads_iframe_/21849154601,22343295815/Ad.Plus-Anchor_0']",Xpath
script,,/html/body/script[1],Xpath
link,,/html/body/link[1],Xpath
link,,/html/body/link[2],Xpath
noscript,,/html/body/noscript,Xpath
div,app,//div[@id='app'],Xpath
header,,/html/body/div[2]/header,Xpath
a,,/html/body/div[2]/header/a,Xpath
img,,/html/body/div[2]/header/a/img,Xpath
div,,/html/body/div[2]/div,Xpath
div,,/html/body/div[2]/div/div,Xpath
div,,/html/body/div[2]/div/div/div[1],Xpath
a,,/html/body/div[2]/div/div/div[1]/a,Xpath
img,,/html/body/div[2]/div/div/div[1]/a/img,Xpath
div,,/html/body/div[2]/div/div/div[2],Xpath
div,,/html/body/div[2]/div/div/div[2]/div,Xpath
div,,/html/body/div[2]/div/div/div[2]/div/div[1],Xpath
div,,/html/body/div[2]/div/div/div[2]/div/div[1]/div,Xpath
div,,/html/body/div[2]/div/div/div[2]/div/div[1]/div/div[1],Xpath
div,,/html/body/div[2]/div/div/div[2]/div/div[1]/div/div[2],Xpath
svg,,/html/body/div[2]/div/div/div[2]/div/div[1]/div/div[2]/svg,Xpath
path,,/html/body/div[2]/div/div/div[2]/div/div[1]/div/div[2]/svg/path,Xpath
div,,/html/body/div[2]/div/div/div[2]/div/div[1]/div/div[3],Xpath
h5,,/html/body/div[2]/div/div/div[2]/div/div[1]/div/div[3]/h5,Xpath
div,,/html/body/div[2]/div/div/div[2]/div/div[2],Xpath
div,,/html/body/div[2]/div/div/div[2]/div/div[2]/div,Xpath
div,,/html/body/div[2]/div/div/div[2]/div/div[2]/div/div[1],Xpath
div,,/html/body/div[2]/div/div/div[2]/div/div[2]/div/div[2],Xpath
