Tag,LocatorName,LocatorValue,LocatorType
div,exampleModal,//div[@id='exampleModal'],Xpath
div,,/html/body/div[1]/div,Xpath
div,,/html/body/div[1]/div/div,Xpath
div,,/html/body/div[1]/div/div/div[1],Xpath
h5,exampleModalLabel,//h5[@id='exampleModalLabel'],Xpath
button,,/html/body/div[1]/div/div/div[1]/button,Xpath
span,,/html/body/div[1]/div/div/div[1]/button/span,Xpath
div,,/html/body/div[1]/div/div/div[2],Xpath
form,,/html/body/div[1]/div/div/div[2]/form,Xpath
div,,/html/body/div[1]/div/div/div[2]/form/div[1],Xpath
label,,/html/body/div[1]/div/div/div[2]/form/div[1]/label,Xpath
input,recipient-email,//input[@id='recipient-email'],Xpath
div,,/html/body/div[1]/div/div/div[2]/form/div[2],Xpath
label,,/html/body/div[1]/div/div/div[2]/form/div[2]/label,Xpath
input,recipient-name,//input[@id='recipient-name'],Xpath
div,,/html/body/div[1]/div/div/div[2]/form/div[3],Xpath
label,,/html/body/div[1]/div/div/div[2]/form/div[3]/label,Xpath
textarea,message-text,//textarea[@id='message-text'],Xpath
div,,/html/body/div[1]/div/div/div[3],Xpath
button,,/html/body/div[1]/div/div/div[3]/button[1],Xpath
button,,/html/body/div[1]/div/div/div[3]/button[2],Xpath
div,signInModal,//div[@id='signInModal'],Xpath
div,,/html/body/div[2]/div,Xpath
div,,/html/body/div[2]/div/div,Xpath
div,,/html/body/div[2]/div/div/div[1],Xpath
h5,signInModalLabel,//h5[@id='signInModalLabel'],Xpath
button,,/html/body/div[2]/div/div/div[1]/button,Xpath
span,,/html/body/div[2]/div/div/div[1]/button/span,Xpath
div,,/html/body/div[2]/div/div/div[2],Xpath
form,,/html/body/div[2]/div/div/div[2]/form,Xpath
div,,/html/body/div[2]/div/div/div[2]/form/div[1],Xpath
label,,/html/body/div[2]/div/div/div[2]/form/div[1]/label,Xpath
input,sign-username,//input[@id='sign-username'],Xpath
div,,/html/body/div[2]/div/div/div[2]/form/div[2],Xpath
label,,/html/body/div[2]/div/div/div[2]/form/div[2]/label,Xpath
input,sign-password,//input[@id='sign-password'],Xpath
div,,/html/body/div[2]/div/div/div[2]/form/div[3],Xpath
label,errors,//label[@id='errors'],Xpath
div,,/html/body/div[2]/div/div/div[3],Xpath
button,,/html/body/div[2]/div/div/div[3]/button[1],Xpath
button,,/html/body/div[2]/div/div/div[3]/button[2],Xpath
div,logInModal,//div[@id='logInModal'],Xpath
div,,/html/body/div[3]/div,Xpath
div,,/html/body/div[3]/div/div,Xpath
div,,/html/body/div[3]/div/div/div[1],Xpath
h5,logInModalLabel,//h5[@id='logInModalLabel'],Xpath
button,,/html/body/div[3]/div/div/div[1]/button,Xpath
span,,/html/body/div[3]/div/div/div[1]/button/span,Xpath
div,,/html/body/div[3]/div/div/div[2],Xpath
form,,/html/body/div[3]/div/div/div[2]/form,Xpath
div,,/html/body/div[3]/div/div/div[2]/form/div[1],Xpath
label,,/html/body/div[3]/div/div/div[2]/form/div[1]/label,Xpath
input,loginusername,//input[@id='loginusername'],Xpath
div,,/html/body/div[3]/div/div/div[2]/form/div[2],Xpath
label,,/html/body/div[3]/div/div/div[2]/form/div[2]/label,Xpath
input,loginpassword,//input[@id='loginpassword'],Xpath
div,,/html/body/div[3]/div/div/div[2]/form/div[3],Xpath
label,errorl,//label[@id='errorl'],Xpath
div,,/html/body/div[3]/div/div/div[3],Xpath
button,,/html/body/div[3]/div/div/div[3]/button[1],Xpath
button,,/html/body/div[3]/div/div/div[3]/button[2],Xpath
div,videoModal,//div[@id='videoModal'],Xpath
div,,/html/body/div[4]/div,Xpath
div,,/html/body/div[4]/div/div,Xpath
div,,/html/body/div[4]/div/div/div[1],Xpath
h5,videoModalLabel,//h5[@id='videoModalLabel'],Xpath
button,,/html/body/div[4]/div/div/div[1]/button,Xpath
span,,/html/body/div[4]/div/div/div[1]/button/span,Xpath
div,,/html/body/div[4]/div/div/div[2],Xpath
form,,/html/body/div[4]/div/div/div[2]/form,Xpath
div,,/html/body/div[4]/div/div/div[2]/form/div,Xpath
div,example-video,//div[@id='example-video'],Xpath
video,example-video_html5_api,//video[@id='example-video_html5_api'],Xpath
div,,/html/body/div[4]/div/div/div[2]/form/div/div/div[1],Xpath
div,,/html/body/div[4]/div/div/div[2]/form/div/div/div[2],Xpath
div,,/html/body/div[4]/div/div/div[2]/form/div/div/div[2]/div,Xpath
div,,/html/body/div[4]/div/div/div[2]/form/div/div/div[3],Xpath
span,,/html/body/div[4]/div/div/div[2]/form/div/div/div[3]/span,Xpath
button,,/html/body/div[4]/div/div/div[2]/form/div/div/button,Xpath
span,,/html/body/div[4]/div/div/div[2]/form/div/div/button/span[1],Xpath
span,,/html/body/div[4]/div/div/div[2]/form/div/div/button/span[2],Xpath
div,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4],Xpath
button,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/button[1],Xpath
span,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/button[1]/span[1],Xpath
span,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/button[1]/span[2],Xpath
div,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[1],Xpath
button,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[1]/button,Xpath
span,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[1]/button/span[1],Xpath
span,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[1]/button/span[2],Xpath
div,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[1]/div,Xpath
div,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[1]/div/div,Xpath
div,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[1]/div/div/div,Xpath
span,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[1]/div/div/div/span,Xpath
div,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[2],Xpath
span,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[2]/span[1],Xpath
span,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[2]/span[2],Xpath
div,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[3],Xpath
div,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[3]/div,Xpath
span,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[3]/div/span,Xpath
div,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[4],Xpath
span,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[4]/span[1],Xpath
span,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[4]/span[2],Xpath
div,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[5],Xpath
div,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[5]/div,Xpath
div,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[5]/div/div[1],Xpath
span,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[5]/div/div[1]/span,Xpath
span,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[5]/div/div[1]/span/span[1],Xpath
span,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[5]/div/div[1]/span/span[2],Xpath
div,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[5]/div/div[1]/div,Xpath
div,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[5]/div/div[2],Xpath
div,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[5]/div/div[2]/div,Xpath
div,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[5]/div/div[3],Xpath
div,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[5]/div/div[3]/div,Xpath
div,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[6],Xpath
div,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[6]/div,Xpath
span,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[6]/div/span,Xpath
button,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/button[2],Xpath
span,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/button[2]/span[1],Xpath
span,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/button[2]/span[2],Xpath
span,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/button[2]/span[3],Xpath
div,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[7],Xpath
span,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[7]/span[1],Xpath
span,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[7]/span[2],Xpath
span,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[7]/span[3],Xpath
div,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[8],Xpath
div,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[9],Xpath
button,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[9]/button,Xpath
span,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[9]/button/span[1],Xpath
span,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[9]/button/span[2],Xpath
div,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[9]/div[1],Xpath
ul,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[9]/div[1]/ul,Xpath
div,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[9]/div[2],Xpath
div,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[10],Xpath
button,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[10]/button,Xpath
span,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[10]/button/span[1],Xpath
span,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[10]/button/span[2],Xpath
div,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[10]/div,Xpath
ul,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[10]/div/ul,Xpath
li,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[10]/div/ul/li,Xpath
div,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[11],Xpath
button,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[11]/button,Xpath
span,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[11]/button/span[1],Xpath
span,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[11]/button/span[2],Xpath
div,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[11]/div,Xpath
ul,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[11]/div/ul,Xpath
li,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[11]/div/ul/li,Xpath
span,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[11]/div/ul/li/span[1],Xpath
span,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[11]/div/ul/li/span[2],Xpath
div,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[12],Xpath
button,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[12]/button,Xpath
span,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[12]/button/span[1],Xpath
span,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[12]/button/span[2],Xpath
div,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[12]/div,Xpath
ul,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[12]/div/ul,Xpath
li,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[12]/div/ul/li[1],Xpath
span,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[12]/div/ul/li[1]/span[1],Xpath
span,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[12]/div/ul/li[1]/span[2],Xpath
li,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[12]/div/ul/li[2],Xpath
span,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[12]/div/ul/li[2]/span[1],Xpath
span,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[12]/div/ul/li[2]/span[2],Xpath
div,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[13],Xpath
button,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[13]/button,Xpath
span,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[13]/button/span[1],Xpath
span,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[13]/button/span[2],Xpath
div,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[13]/div,Xpath
ul,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[13]/div/ul,Xpath
li,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[13]/div/ul/li,Xpath
span,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[13]/div/ul/li/span[1],Xpath
span,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/div[13]/div/ul/li/span[2],Xpath
button,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/button[3],Xpath
span,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/button[3]/span[1],Xpath
span,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/button[3]/span[2],Xpath
button,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/button[4],Xpath
span,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/button[4]/span[1],Xpath
span,,/html/body/div[4]/div/div/div[2]/form/div/div/div[4]/button[4]/span[2],Xpath
div,,/html/body/div[4]/div/div/div[2]/form/div/div/div[5],Xpath
p,example-video_component_425_description,//p[@id='example-video_component_425_description'],Xpath
div,,/html/body/div[4]/div/div/div[2]/form/div/div/div[5]/div,Xpath
div,,/html/body/div[4]/div/div/div[2]/form/div/div/div[6],Xpath
p,example-video_component_430_description,//p[@id='example-video_component_430_description'],Xpath
div,,/html/body/div[4]/div/div/div[2]/form/div/div/div[6]/div,Xpath
div,,/html/body/div[4]/div/div/div[2]/form/div/div/div[6]/div/div[1],Xpath
fieldset,,/html/body/div[4]/div/div/div[2]/form/div/div/div[6]/div/div[1]/fieldset[1],Xpath
legend,captions-text-legend-example-video_component_430,//legend[@id='captions-text-legend-example-video_component_430'],Xpath
label,captions-foreground-color-example-video_component_430,//label[@id='captions-foreground-color-example-video_component_430'],Xpath
select,,/html/body/div[4]/div/div/div[2]/form/div/div/div[6]/div/div[1]/fieldset[1]/select,Xpath
option,captions-foreground-color-example-video_component_430-White,//option[@id='captions-foreground-color-example-video_component_430-White'],Xpath
option,captions-foreground-color-example-video_component_430-Black,//option[@id='captions-foreground-color-example-video_component_430-Black'],Xpath
option,captions-foreground-color-example-video_component_430-Red,//option[@id='captions-foreground-color-example-video_component_430-Red'],Xpath
option,captions-foreground-color-example-video_component_430-Green,//option[@id='captions-foreground-color-example-video_component_430-Green'],Xpath
option,captions-foreground-color-example-video_component_430-Blue,//option[@id='captions-foreground-color-example-video_component_430-Blue'],Xpath
option,captions-foreground-color-example-video_component_430-Yellow,//option[@id='captions-foreground-color-example-video_component_430-Yellow'],Xpath
option,captions-foreground-color-example-video_component_430-Magenta,//option[@id='captions-foreground-color-example-video_component_430-Magenta'],Xpath
option,captions-foreground-color-example-video_component_430-Cyan,//option[@id='captions-foreground-color-example-video_component_430-Cyan'],Xpath
span,,/html/body/div[4]/div/div/div[2]/form/div/div/div[6]/div/div[1]/fieldset[1]/span,Xpath
label,captions-foreground-opacity-example-video_component_430,//label[@id='captions-foreground-opacity-example-video_component_430'],Xpath
select,,/html/body/div[4]/div/div/div[2]/form/div/div/div[6]/div/div[1]/fieldset[1]/span/select,Xpath
option,captions-foreground-opacity-example-video_component_430-Opaque,//option[@id='captions-foreground-opacity-example-video_component_430-Opaque'],Xpath
option,captions-foreground-opacity-example-video_component_430-SemiTransparent,//option[@id='captions-foreground-opacity-example-video_component_430-SemiTransparent'],Xpath
fieldset,,/html/body/div[4]/div/div/div[2]/form/div/div/div[6]/div/div[1]/fieldset[2],Xpath
legend,captions-background-example-video_component_430,//legend[@id='captions-background-example-video_component_430'],Xpath
label,captions-background-color-example-video_component_430,//label[@id='captions-background-color-example-video_component_430'],Xpath
select,,/html/body/div[4]/div/div/div[2]/form/div/div/div[6]/div/div[1]/fieldset[2]/select,Xpath
option,captions-background-color-example-video_component_430-Black,//option[@id='captions-background-color-example-video_component_430-Black'],Xpath
option,captions-background-color-example-video_component_430-White,//option[@id='captions-background-color-example-video_component_430-White'],Xpath
option,captions-background-color-example-video_component_430-Red,//option[@id='captions-background-color-example-video_component_430-Red'],Xpath
option,captions-background-color-example-video_component_430-Green,//option[@id='captions-background-color-example-video_component_430-Green'],Xpath
option,captions-background-color-example-video_component_430-Blue,//option[@id='captions-background-color-example-video_component_430-Blue'],Xpath
option,captions-background-color-example-video_component_430-Yellow,//option[@id='captions-background-color-example-video_component_430-Yellow'],Xpath
option,captions-background-color-example-video_component_430-Magenta,//option[@id='captions-background-color-example-video_component_430-Magenta'],Xpath
option,captions-background-color-example-video_component_430-Cyan,//option[@id='captions-background-color-example-video_component_430-Cyan'],Xpath
span,,/html/body/div[4]/div/div/div[2]/form/div/div/div[6]/div/div[1]/fieldset[2]/span,Xpath
label,captions-background-opacity-example-video_component_430,//label[@id='captions-background-opacity-example-video_component_430'],Xpath
select,,/html/body/div[4]/div/div/div[2]/form/div/div/div[6]/div/div[1]/fieldset[2]/span/select,Xpath
option,captions-background-opacity-example-video_component_430-Opaque,//option[@id='captions-background-opacity-example-video_component_430-Opaque'],Xpath
option,captions-background-opacity-example-video_component_430-SemiTransparent,//option[@id='captions-background-opacity-example-video_component_430-SemiTransparent'],Xpath
option,captions-background-opacity-example-video_component_430-Transparent,//option[@id='captions-background-opacity-example-video_component_430-Transparent'],Xpath
fieldset,,/html/body/div[4]/div/div/div[2]/form/div/div/div[6]/div/div[1]/fieldset[3],Xpath
legend,captions-window-example-video_component_430,//legend[@id='captions-window-example-video_component_430'],Xpath
label,captions-window-color-example-video_component_430,//label[@id='captions-window-color-example-video_component_430'],Xpath
select,,/html/body/div[4]/div/div/div[2]/form/div/div/div[6]/div/div[1]/fieldset[3]/select,Xpath
option,captions-window-color-example-video_component_430-Black,//option[@id='captions-window-color-example-video_component_430-Black'],Xpath
option,captions-window-color-example-video_component_430-White,//option[@id='captions-window-color-example-video_component_430-White'],Xpath
option,captions-window-color-example-video_component_430-Red,//option[@id='captions-window-color-example-video_component_430-Red'],Xpath
option,captions-window-color-example-video_component_430-Green,//option[@id='captions-window-color-example-video_component_430-Green'],Xpath
option,captions-window-color-example-video_component_430-Blue,//option[@id='captions-window-color-example-video_component_430-Blue'],Xpath
option,captions-window-color-example-video_component_430-Yellow,//option[@id='captions-window-color-example-video_component_430-Yellow'],Xpath
option,captions-window-color-example-video_component_430-Magenta,//option[@id='captions-window-color-example-video_component_430-Magenta'],Xpath
