Tag,LocatorName,LocatorValue,LocatorType
app-root,,/html/body/app-root,XPath
div,,/html/body/app-root/div,XPath
router-outlet,slider,//router-outlet[@name='slider'],XPath
router-outlet,bot,//router-outlet[@name='bot'],XPath
div,,/html/body/app-root/div/div,XPath
app-mi-toast,,/html/body/app-root/div/div/app-mi-toast,XPath
p-toast,,/html/body/app-root/div/div/app-mi-toast/p-toast,XPath
div,,/html/body/app-root/div/div/app-mi-toast/p-toast/div,XPath
router-outlet,primary,//router-outlet[@name='primary'],XPath
app-feature-employee-dashboard,,/html/body/app-root/div/div/app-feature-employee-dashboard,XPath
router-outlet,,/html/body/app-root/div/div/app-feature-employee-dashboard/router-outlet,XPath
app-employee-login,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login,XPath
main,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main,XPath
div,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[1],XPath
img,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[1]/img,XPath
div,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[2],XPath
img,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[2]/img,XPath
div,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[3],XPath
img,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[3]/img,XPath
div,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4],XPath
div,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div,XPath
div,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/div,XPath
div,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/div/div[1],XPath
div,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/div/div[1]/div[1],XPath
img,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/div/div[1]/div[1]/img,XPath
div,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/div/div[1]/div[2],XPath
p,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/div/div[1]/div[2]/p,XPath
div,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/div/div[2],XPath
div,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/div/div[2]/div[1],XPath
p,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/div/div[2]/div[1]/p,XPath
div,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/div/div[2]/div[2],XPath
p,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/div/div[2]/div[2]/p,XPath
form,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/form,XPath
article,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/form/article[1],XPath
div,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/form/article[1]/div,XPath
span,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/form/article[1]/div/span,XPath
i,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/form/article[1]/div/span/i,XPath
input,emailInput,//input[@id='emailInput'],XPath
article,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/form/article[1]/article,XPath
article,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/form/article[2],XPath
article,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/form/article[2]/article[1],XPath
span,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/form/article[2]/article[1]/span,XPath
i,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/form/article[2]/article[1]/span/i[1],XPath
input,passwordInputField,//input[@id='passwordInputField'],XPath
i,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/form/article[2]/article[1]/span/i[2],XPath
article,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/form/article[2]/article[2],XPath
article,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/form/article[3],XPath
div,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/form/article[3]/div,XPath
article,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/form/article[3]/div/article[1],XPath
p-checkbox,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/form/article[3]/div/article[1]/p-checkbox,XPath
div,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/form/article[3]/div/article[1]/p-checkbox/div,XPath
div,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/form/article[3]/div/article[1]/p-checkbox/div/div[1],XPath
input,binary,//input[@id='binary'],XPath
div,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/form/article[3]/div/article[1]/p-checkbox/div/div[2],XPath
article,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/form/article[3]/div/article[2],XPath
p,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/form/article[3]/div/article[2]/p,XPath
article,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/form/article[3]/article,XPath
p,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/form/article[3]/article/p,XPath
div,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/form/div,XPath
p-button,login-button,//p-button[@id='login-button'],XPath
button,submit,//button[@type='submit'],XPath
span,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/form/div/p-button/button/span,XPath
footer,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/footer,XPath
div,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/footer/div[1],XPath
p,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/footer/div[1]/p,XPath
div,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/footer/div[2],XPath
p,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/footer/div[2]/p,XPath
script,module,//script[@type='module'],XPath
script,module,//script[@type='module'],XPath
