name,LocatorName,LocatorValue,LocatorType
style,type,//style[@type='text/css'],XPath
script,id,//script[@id='client-env'],XPath
script,type,//script[@type='application/javascript'],XPath
script,type,//script[@type='application/javascript'],XPath
script,type,//script[@type='application/javascript'],XPath
script,type,//script[@type='application/javascript'],XPath
script,type,//script[@type='application/javascript'],XPath
script,type,//script[@type='application/javascript'],XPath
script,type,//script[@type='application/javascript'],XPath
script,type,//script[@type='application/javascript'],XPath
script,type,//script[@type='application/javascript'],XPath
script,type,//script[@type='application/javascript'],XPath
script,type,//script[@type='application/javascript'],XPath
script,type,//script[@type='application/javascript'],XPath
script,type,//script[@type='application/javascript'],XPath
script,type,//script[@type='application/javascript'],XPath
script,type,//script[@type='application/javascript'],XPath
script,type,//script[@type='application/javascript'],XPath
script,type,//script[@type='application/javascript'],XPath
script,type,//script[@type='application/javascript'],XPath
script,type,//script[@type='application/javascript'],XPath
script,type,//script[@type='application/javascript'],XPath
script,type,//script[@type='application/javascript'],XPath
script,type,//script[@type='application/javascript'],XPath
script,type,//script[@type='application/javascript'],XPath
script,type,//script[@type='application/javascript'],XPath
script,type,//script[@type='application/javascript'],XPath
script,type,//script[@type='application/javascript'],XPath
script,type,//script[@type='application/javascript'],XPath
script,type,//script[@type='application/javascript'],XPath
script,type,//script[@type='application/javascript'],XPath
script,type,//script[@type='application/javascript'],XPath
script,type,//script[@type='application/javascript'],XPath
script,type,//script[@type='application/javascript'],XPath
script,type,//script[@type='application/javascript'],XPath
script,type,//script[@type='application/javascript'],XPath
script,type,//script[@type='application/javascript'],XPath
script,type,//script[@type='application/javascript'],XPath
script,type,//script[@type='application/javascript'],XPath
script,type,//script[@type='application/javascript'],XPath
script,type,//script[@type='application/javascript'],XPath
script,type,//script[@type='application/javascript'],XPath
script,type,//script[@type='application/javascript'],XPath
meta,name,//meta[@name='route-pattern'],XPath
meta,name,//meta[@name='route-controller'],XPath
meta,name,//meta[@name='route-action'],XPath
meta,name,//meta[@name='current-catalog-service-hash'],XPath
meta,name,//meta[@name='request-id'],XPath
meta,name,//meta[@name='html-safe-nonce'],XPath
meta,name,//meta[@name='visitor-payload'],XPath
meta,name,//meta[@name='visitor-hmac'],XPath
meta,name,//meta[@name='page-subject'],XPath
meta,name,//meta[@name='github-keyboard-shortcuts'],XPath
meta,name,//meta[@name='selected-link'],XPath
meta,name,//meta[@name='google-site-verification'],XPath
meta,name,//meta[@name='octolytics-url'],XPath
meta,name,//meta[@name='user-login'],XPath
meta,name,//meta[@name='viewport'],XPath
meta,name,//meta[@name='description'],XPath
link,type,//link[@type='application/opensearchdescription+xml'],XPath
meta,name,//meta[@name='apple-itunes-app'],XPath
meta,name,//meta[@name='twitter:image:src'],XPath
meta,name,//meta[@name='twitter:site'],XPath
meta,name,//meta[@name='twitter:card'],XPath
meta,name,//meta[@name='twitter:title'],XPath
meta,name,//meta[@name='twitter:description'],XPath
meta,name,//meta[@name='hostname'],XPath
meta,name,//meta[@name='expected-hostname'],XPath
meta,name,//meta[@name='turbo-cache-control'],XPath
link,type,//link[@type='font/woff2'],XPath
meta,name,//meta[@name='is_logged_out_page'],XPath
meta,name,//meta[@name='turbo-body-classes'],XPath
meta,name,//meta[@name='browser-stats-url'],XPath
meta,name,//meta[@name='browser-errors-url'],XPath
link,type,//link[@type='image/png'],XPath
link,type,//link[@type='image/svg+xml'],XPath
meta,name,//meta[@name='theme-color'],XPath
meta,name,//meta[@name='color-scheme'],XPath
meta,name,//meta[@name='msapplication-TileImage'],XPath
